Number of Records Retrieved: 10180,,,,,,,,,,,,,,,,,,,,,
STOCKING_EVENT_RECORD_NUM,RECORD_STATUS,STOCKING_YEAR,DESTINATION_WATERBODY_LID,DESTINATION_WATERBODY_NAME,INVENTORY_COMMENTS,STOCKING_COMMENTS,MARKING_COMMENTS,,,,,,,,,,,,,,
2189,APPROVED,2003,18-3744-50099,Craigs Cr.,,Off Hwy,,,,,,,,,,,,,,,
2191,APPROVED,2003,18-5524-50052,St. Lawrence R.,"Source Waterbody - Bay of Quinte, Big Island Area",,,,,,,,,,,,,,,,
2570,APPROVED,2002,17-5731-52852,Gillies L.,H5603,,,,,,,,,,,,,,,,
1651,APPROVED,2003,16-6770-53386,Big L.,,AKA Big Hook Lake,,,,,,,,,,,,,,,
1653,APPROVED,2003,16-6867-52661,Callahan L.,,Loaded on Train.  Algoma Central Railway.  Stocked via ATV,,,,,,,,,,,,,,,
1655,APPROVED,2003,16-6845-52653,Vesi L.,,"Loaded on Train.  Algoma Central Railway. Offloaded onto ATV, then boat.",,,,,,,,,,,,,,,
484,APPROVED,2003,17-7415-48483,"Ontario, L.","H9342
source waterbody = Credit River",Stocked at alternate site: Beacon Inn,,,,,,,,,,,,,,,
486,APPROVED,2003,17-7415-48483,"Ontario, L.","H9351
source waterbody = Credit River",,,,,,,,,,,,,,,,
488,APPROVED,2003,17-7415-48483,"Ontario, L.","H9352
source waterbody = Credit River",,,,,,,,,,,,,,,,
489,APPROVED,2003,17-7415-48483,"Ontario, L.","H9343
source waterbody = Credit River",,,,,,,,,,,,,,,,
2194,APPROVED,2003,17-7415-48483,"Ontario, L.","H7921
Source Waterbody - Cobourg Br.",Stocking number is +/-500 fish,,,,,,,,,,,,,,,
2196,APPROVED,2003,17-7415-48483,"Ontario, L.","H7914
Source Waterbody - Credit R. 
Pen Imprinted Fish",Holding temperature in the pen was 9.4 / Towed offshore and released at 17-771497-4878277,,,,,,,,,,,,,,,
2197,APPROVED,2003,17-7415-48483,"Ontario, L.","H7913
Source Waterbody - Credit R. 
Pen Imprinted Fish",Average Holding Temperature was 8.7 / Towed offshore and released 17-792857-4872725,,,,,,,,,,,,,,,
1577,APPROVED,2003,17-7415-48483,"Ontario, L.",H10062,,,,,,,,,,,,,,,,
1578,APPROVED,2003,17-7415-48483,"Ontario, L.",H10063,,,,,,,,,,,,,,,,
1582,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7833,"UTM 18 3518 48705
EST. MORT OFF BOAT 50",,,,,,,,,,,,,,,
1583,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H7805,,,,,,,,,,,,,,,,
1584,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7804,,,,,,,,,,,,,,,,
1585,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7806,,,,,,,,,,,,,,,,
1586,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7844,,,,,,,,,,,,,,,,
1587,APPROVED,2003,17-7415-48483,"Ontario, L.",H7845,,,,,,,,,,,,,,,,
1588,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7846,,,,,,,,,,,,,,,,
1589,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7847,,,,,,,,,,,,,,,,
1590,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7848,,,,,,,,,,,,,,,,
1591,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7849,,,,,,,,,,,,,,,,
1592,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7843,"UTM 18 3459 48742
EST. MORT OFF BOAT 5",,,,,,,,,,,,,,,
1593,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7863,,,,,,,,,,,,,,,,
1594,APPROVED,2003,17-7415-48483,"Ontario, L.",431 H 7864,,,,,,,,,,,,,,,,
491,APPROVED,2003,17-7415-48483,"Ontario, L.","H9353
source waterbody = Credit River",,,,,,,,,,,,,,,,
1185,APPROVED,2003,16-2810-53371,Hartington L. 1,,Stocking: truck-helicopter-lake,,,,,,,,,,,,,,,
1186,APPROVED,2003,16-2802-53361,Hartington L. 2,,Stocking: truck-helicopter-lake,,,,,,,,,,,,,,,
1187,APPROVED,2003,16-2805-53376,Lismore L. 2,,Stocking: truck-helicopter-lake,,,,,,,,,,,,,,,
1188,APPROVED,2003,16-2860-53408,Morrison L.,,Stocking: truck-helicopter-lake,,,,,,,,,,,,,,,
1189,APPROVED,2003,16-2985-53313,Bell L.,,Stocking: truck-helicopter-lake,,,,,,,,,,,,,,,
1191,APPROVED,2003,16-2970-53313,Joan L.,,Stocking: truck-helicopter-lake,,,,,,,,,,,,,,,
1192,APPROVED,2003,16-2990-53307,Matson L.,,Stocking: truck-helicopter-lake,,,,,,,,,,,,,,,
1193,APPROVED,2003,16-3083-53519,"Thompson 2, L.",,Stocking: truck-helicopter-lake,,,,,,,,,,,,,,,
1194,APPROVED,2003,16-3778-54100,Cavern L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
1195,APPROVED,2003,15-6868-54326,Inwood L.,,Stocking: truck-pail-lake,,,,,,,,,,,,,,,
2918,APPROVED,2002,17-5210-53067,Canyon L.,H5696,,,,,,,,,,,,,,,,
2920,APPROVED,2002,17-5309-52840,Chown L. 15,H5706,,,,,,,,,,,,,,,,
2921,APPROVED,2002,17-5623-52972,Mountain L.,H5714,,,,,,,,,,,,,,,,
2922,APPROVED,2002,17-5805-53617,Thackeray L. 9,H5725,,,,,,,,,,,,,,,,
2923,APPROVED,2002,17-5350-52847,North Twin L.,"H5871
adult transfer
sourcewby Otisse L.
Fish size approx- ranged between 60 and 1000 gms",,,,,,,,,,,,,,,,
