glfsd_stock_id,agency_stock_id,agency_code,_lake,state_prov,manUnit,grid_10min,location_primary,location_secondary,latitude,longitude,year,month,day,stock_method,species_code,_strain,yearclass,life_stage,age_months,_clip,clip_efficiency,phys_chem_mark,tag_type,cwt_number,tag_retention,mean_length_mm,total_weight_kg,stocking_mortality,lot_code,hatchery_abbrev,number_stocked,notes
20181111,,OMNR,ON,ON,OO1,603,,Lakefront Promenade,43.56478,-79.56181,2017,3,20,t,BNT,GAN,2016,y,15,,,,,,,,875,6,,,18203,FSIS # 38114
20181112,,OMNR,ON,ON,OO1,603,,Lakefront Promenade,43.56478,-79.56181,2017,3,20,t,BNT,GAN,2016,y,15,,,,,,,,875,6,,,18203,FSIS # 38097
20181115,,OMNR,ON,ON,OO1,702,,Bronte Harbour,43.393846,-79.706127,2017,3,22,t,BNT,GAN,2016,y,15,,,,,,,,880,6,,,19375,FSIS # 38108
20181116,,OMNR,ON,ON,OO1,604,,Humber Bay Park,43.62032,-79.47891,2017,3,16,t,BNT,GAN,2016,y,15,,,,,,,,885,6,,,18410,FSIS # 38096
20181119,,OMNR,ON,ON,OO3,417,,Athol Bay,43.89813,-77.25772,2017,3,23,t,BNT,GAN,2016,y,15,,,,,,,,1030,6,,,21490,FSIS # 38110
20181120,,OMNR,ON,ON,OO3,417,,Athol Bay,43.89813,-77.25772,2017,3,30,t,BNT,GAN,2016,y,15,,,,,,,,1095,6,,,22808,FSIS # 38112
20181124,,ILDNR,MI,IL,ILL,2603,,"Chicago, 31St Street Harbor",,,2017,7,18,t,BNT,PLY,2017,f,7,,,,,,,135,584,0,,,10038,
20181125,,ILDNR,MI,IL,ILL,2603,,"Chicago, Belmont Harbor",,,2017,7,19,t,BNT,PLY,2017,f,7,,,,,,,135,596,0,,,10021,
20181126,,ILDNR,MI,IL,ILL,2603,,"Chicago, Burnham Harbor",,,2017,7,18,t,BNT,PLY,2017,f,7,,,,,,,135,584,0,,,10038,
20181127,,ILDNR,MI,IL,ILL,2703,,"Chicago, Calumet Harbor",,,2017,7,18,t,BNT,PLY,2017,f,7,,,,,,,135,587,0,,,10087,
20181128,,ILDNR,MI,IL,ILL,2603,,"Chicago, Diversey Harbor",,,2017,7,18,t,BNT,PLY,2017,f,7,,,,,,,135,583,0,,,10039,
20181129,,ILDNR,MI,IL,ILL,2703,,"Chicago, Jackson Harbor",,,2017,7,18,t,BNT,PLY,2017,f,7,,,,,,,135,586,0,,,10088,
20181130,,ILDNR,MI,IL,ILL,2603,,"Chicago, Montrose Harbor",,,2017,7,19,t,BNT,PLY,2017,f,7,,,,,,,135,597,0,,,10020,
