Number of Records Retrieved: 685
STOCKING_EVENT_RECORD_NUM,TAG_ID_1,TAG_TYPE_CODE_1,TAG_TYPE_DESCRIPTION_1,TAG_POSITION_CODE_1,TAG_POSITION_DESCRIPTION_1,TAG_ORIGIN_CODE_1,TAG_ORIGIN_DESCRIPTION_1,TAG_COLOUR_CODE_1,TAG_COLOUR_DESCRIPTION_1,SERIES1_START_NUMBER_1,SERIES1_END_NUMBER_1,SERIES2_START_NUMBER_1,SERIES2_END_NUMBER_1,SERIES3_START_NUMBER_1,SERIES3_END_NUMBER_1,RETENTION_RATE_PCT_1,RETENTION_RATE_SAMPLE_SIZE_1,RETENTION_RATE_POP_SIZE_1,COMMENTS_1,TAG_ID_2,TAG_TYPE_CODE_2,TAG_TYPE_DESCRIPTION_2,TAG_POSITION_CODE_2,TAG_POSITION_DESCRIPTION_2,TAG_ORIGIN_CODE_2,TAG_ORIGIN_DESCRIPTION_2,TAG_COLOUR_CODE_2,TAG_COLOUR_DESCRIPTION_2,SERIES1_START_NUMBER_2,SERIES1_END_NUMBER_2,SERIES2_START_NUMBER_2,SERIES2_END_NUMBER_2,SERIES3_START_NUMBER_2,SERIES3_END_NUMBER_2,RETENTION_RATE_PCT_2,RETENTION_RATE_SAMPLE_SIZE_2,RETENTION_RATE_POP_SIZE_2,COMMENTS_2,TAG_ID_3,TAG_TYPE_CODE_3,TAG_TYPE_DESCRIPTION_3,TAG_POSITION_CODE_3,TAG_POSITION_DESCRIPTION_3,TAG_ORIGIN_CODE_3,TAG_ORIGIN_DESCRIPTION_3,TAG_COLOUR_CODE_3,TAG_COLOUR_DESCRIPTION_3,SERIES1_START_NUMBER_3,SERIES1_END_NUMBER_3,SERIES2_START_NUMBER_3,SERIES2_END_NUMBER_3,SERIES3_START_NUMBER_3,SERIES3_END_NUMBER_3,RETENTION_RATE_PCT_3,RETENTION_RATE_SAMPLE_SIZE_3,RETENTION_RATE_POP_SIZE_3,COMMENTS_3,TAG_ID_4,TAG_TYPE_CODE_4,TAG_TYPE_DESCRIPTION_4,TAG_POSITION_CODE_4,TAG_POSITION_DESCRIPTION_4,TAG_ORIGIN_CODE_4,TAG_ORIGIN_DESCRIPTION_4,TAG_COLOUR_CODE_4,TAG_COLOUR_DESCRIPTION_4,SERIES1_START_NUMBER_4,SERIES1_END_NUMBER_4,SERIES2_START_NUMBER_4,SERIES2_END_NUMBER_4,SERIES3_START_NUMBER_4,SERIES3_END_NUMBER_4,RETENTION_RATE_PCT_4,RETENTION_RATE_SAMPLE_SIZE_4,RETENTION_RATE_POP_SIZE_4,COMMENTS_4,TAG_ID_5,TAG_TYPE_CODE_5,TAG_TYPE_DESCRIPTION_5,TAG_POSITION_CODE_5,TAG_POSITION_DESCRIPTION_5,TAG_ORIGIN_CODE_5,TAG_ORIGIN_DESCRIPTION_5,TAG_COLOUR_CODE_5,TAG_COLOUR_DESCRIPTION_5,SERIES1_START_NUMBER_5,SERIES1_END_NUMBER_5,SERIES2_START_NUMBER_5,SERIES2_END_NUMBER_5,SERIES3_START_NUMBER_5,SERIES3_END_NUMBER_5,RETENTION_RATE_PCT_5,RETENTION_RATE_SAMPLE_SIZE_5,RETENTION_RATE_POP_SIZE_5,COMMENTS_5
"46837","71247","P","PIT - Passive Integrated Transponde","4","Abdominal Insertion","MNR","Ontario Ministry of Natural Resources","BLK","Black",,,,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23206","13071","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630297","630298",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25625","18848","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630361","630362",,,,,"90.2","264","44449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6970","202","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","432132","999999",,,,,"96.4","506","55060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25723","19040","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630373","630373","630374","630374",,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25721","19032","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630373","630373","630374","630374",,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6975","229","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630112","999999",,,,,"97.4","0","9274",,"230","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630113","999999",,,,,"96.5","0","10871",,"231","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630114","999999",,,,,"89.6","0","11503",,"232","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630115","999999",,,,,"94.8","0","9488",,"233","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630116","999999",,,,,"98.8","0","8865",
"10618","300","6","Coded Wire","7","Snout","MNR","Ontario Ministry of Natural Resources","NON","Colourless","630161","630161",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19730","5500","6","Coded Wire","1","Anterior Dorsal Fin","MNR","Ontario Ministry of Natural Resources","UNK","Unknown","17077","17548",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19733","5502","6","Coded Wire","1","Anterior Dorsal Fin","MNR","Ontario Ministry of Natural Resources","UNK","Unknown","18273","18273",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
